Category,Item,Price (EUR)
Drycleaning,Blouse,12.95
Drycleaning,Dress,19.95
Drycleaning,Gown,49.95
Drycleaning,Jacket / Blazer,15.95
Drycleaning,Pants / Trousers,13.50
Drycleaning,Polo,5.95
Drycleaning,Raincoat,29.95
Drycleaning,Scarf / Hat,9.95
Drycleaning,Shirt,5.50
Drycleaning,Shorts,8.95
Drycleaning,Ski gloves,12.50
Drycleaning,Ski jacket,34.95
Drycleaning,Ski overall,39.95
Drycleaning,Ski pants,19.95
Drycleaning,Skirt,14.95
Drycleaning,Summer jacket,27.95
Drycleaning,Sweater / Cardigan,9.95
Drycleaning,Tie,13.95
Drycleaning,T-shirt,5.95
Drycleaning,Underwear,4.95
Drycleaning,Vest,11.95
Drycleaning,Winter coat (Child),19.95
Drycleaning,Winter coat / Jacket,34.95
Bedding,Baby/child mattress,34.95
Bedding,Bedspread,24.95
Bedding,Blanket,24.95
Drycleaning / Special,Body warmer,24.95
Bridal/Gala,Child wedding attire,44.95
Bedding,Pillow,29.95
Bedding,Duvet 2 pers. 4 seasons,64.95
Bedding,Duvet 2 pers.,54.95
Bedding,Duvet 1 pers. 4 seasons,54.95
Bedding,Duvet 1 pers.,39.95
Bridal/Gala,Hoop (wedding dress),24.95
Drycleaning / Special,Jeans,9.95
Drycleaning / Special,Jumpsuit,34.95
Bedding,Mattress cover - child,24.95
Bedding,Mattress cover double,54.95
Bedding,Mattress cover single,39.95
Bedding,Mattress topper double,74.95
Bedding,Mattress topper single,59.95
Bedding,Pillowcase,5.25
Bedding,Duvet cover,8.95
Bedding,Fitted sheet,6.95
Bedding,Sleeping bag,29.95
Bedding,Under blanket double,44.95
Bedding,Under blanket single,29.95
Wash & Fold,Wash & Fold 0-6 KG,34.95
Wash & Fold,Per extra kg,5.95
Home Textiles,Curtain- Lined per m2,9.95
Home Textiles,Sheer curtains per m2,6.50
Home Textiles,Curtain - Unlined per m2,7.95
Home Textiles,Lined curtains latex,11.95
Bridal/Gala,Evening dress long,49.95
Bridal/Gala,Evening dress short,39.95
Bridal/Gala,Veil,24.95
Bridal/Gala,Wedding dress,224.95
Leather/Suede,Bag,39.95
Leather/Suede,Body warmer,69.95
Leather/Suede,Jacket,89.95
Leather/Suede,Pants,64.95
Leather/Suede,Skirt,74.95
Leather/Suede,Blazer / Jacket,69.95
Leather/Suede,Vest,69.95
Bridal/Gala,Christening dress,49.95
Home Textiles,Cushion sofa/decorative from 30 cm,22.95
Home Textiles,Cushion sofa/decorative up to 30 cm,17.95
Home Textiles,Large tablecloth,16.50
Special Items,Santa Claus costume (complete),49.95
Home Textiles,Small tablecloth,9.95
