Category,Item,Price (EUR)
Drycleaning,Blouse (bloes),12.95
Drycleaning,Dress (jurk),19.95
Drycleaning,Gown (toga japon),49.95
Drycleaning,Jacket / Blazer (jas colbert),15.95
Drycleaning,Pants / Trousers (broek pantalon),13.50
Drycleaning,Polo (poloshirt),5.95
Drycleaning,Raincoat (regenjas),29.95
Drycleaning,Scarf / Hat (sjaal muts),9.95
Drycleaning,Shirt (overhemd),5.50
Drycleaning,Shorts (korte broek),8.95
Drycleaning,Ski gloves (skihandschoenen),12.50
Drycleaning,Ski jacket (skijas),34.95
Drycleaning,Ski overall (skipak),39.95
Drycleaning,Ski pants (skibroek),19.95
Drycleaning,Skirt (rok),14.95
Drycleaning,Summer jacket (zomerjas),27.95
Drycleaning,Sweater / Cardigan (trui vest),9.95
Drycleaning,Tie (stropdas das),13.95
Drycleaning,T-shirt,5.95
Drycleaning,Underwear (ondergoed),4.95
Drycleaning,Vest (gilet),11.95
Drycleaning,Winter coat child (winterjas kind),19.95
Drycleaning,Winter coat / Jacket (winterjas),34.95
Bedding,Baby/child mattress (kindermatras babymatras),34.95
Bedding,Bedspread (sprei beddensprei),24.95
Bedding,Blanket (deken wollen deken),24.95
Drycleaning / Special,Body warmer (bodywarmer),24.95
Bridal/Gala,Child wedding attire (bruidskinderen kleding),44.95
Bedding,Pillow (kussen hoofdkussen),29.95
Bedding,Duvet double 4 seasons (dekbed 2 persoons 4 seizoenen tweepersoons),64.95
Bedding,Duvet double (dekbed 2 persoons tweepersoons),54.95
Bedding,Duvet single 4 seasons (dekbed 1 persoons 4 seizoenen eenpersoons),54.95
Bedding,Duvet single (dekbed 1 persoons eenpersoons),39.95
Bridal/Gala,Hoop wedding dress (hoepel trouwjurk),24.95
Drycleaning / Special,Jeans (spijkerbroek),9.95
Drycleaning / Special,Jumpsuit,34.95
Bedding,Mattress cover child (matrashoes kind),24.95
Bedding,Mattress cover double (matrashoes 2 persoons tweepersoons),54.95
Bedding,Mattress cover single (matrashoes 1 persoons eenpersoons),39.95
Bedding,Mattress topper double (matrastopper 2 persoons tweepersoons),74.95
Bedding,Mattress topper single (matrastopper 1 persoons eenpersoons),59.95
Bedding,Pillowcase (kussensloop),5.25
Bedding,Duvet cover (dekbedovertrek),8.95
Bedding,Fitted sheet (hoeslaken),6.95
Bedding,Sleeping bag (slaapzak),29.95
Bedding,Under blanket double (onderdeken 2 persoons tweepersoons),44.95
Bedding,Under blanket single (onderdeken 1 persoons eenpersoons),29.95
Wash & Fold,Wash & Fold 0-6 KG (was en vouw service),34.95
Wash & Fold,Per extra kg (per extra kilo),5.95
Home Textiles,Curtain lined per m2 (gordijn gevoerd per vierkante meter),9.95
Home Textiles,Sheer curtains per m2 (vitrage per vierkante meter),6.50
Home Textiles,Curtain unlined per m2 (gordijn ongevoerd per vierkante meter),7.95
Home Textiles,Lined curtains latex (gordijn latex gevoerd),11.95
Bridal/Gala,Evening dress long (avondjurk lang gala),49.95
Bridal/Gala,Evening dress short (avondjurk kort gala),39.95
Bridal/Gala,Veil (sluier bruidssluier),24.95
Bridal/Gala,Wedding dress (trouwjurk bruidsjurk),224.95
Leather/Suede,Leather bag (leren tas suede),39.95
Leather/Suede,Leather body warmer (leren bodywarmer suede),69.95
Leather/Suede,Leather jacket (leren jas suede),89.95
Leather/Suede,Leather pants (leren broek suede),64.95
Leather/Suede,Leather skirt (leren rok suede),74.95
Leather/Suede,Leather blazer / jacket (leren colbert jas suede),69.95
Leather/Suede,Leather vest (leren gilet suede),69.95
Bridal/Gala,Christening dress (doopjurk),49.95
Home Textiles,Cushion sofa/decorative from 30 cm (sierkussen bankkussen groot),22.95
Home Textiles,Cushion sofa/decorative up to 30 cm (sierkussen bankkussen klein),17.95
Home Textiles,Large tablecloth (groot tafelkleed),16.50
Special Items,Santa Claus costume complete (kerstman pak compleet),49.95
Home Textiles,Small tablecloth (klein tafelkleed),9.95
